Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Qty,Price,Amount,SaleExclGST,GSTP,GST,DiscPer,DiscAmount,BarcodeDiscPer,BarcodeDiscount,NetAmount,PointsEarned,TaxPer,BillNo,BillDate,LoyaltyCard,Customer,Description,BillMonth,Warehouse,RegionName,Location,DepartmentName,BrandName,DesignNo,Rejection,SeasonName,Inventory_status,Offers,Import_type,Attribute5,Class_of_cloth,LocalImport,Color,Sizes,DiscountType,SalesReturnReason,Cobrand Acc
642380,642380,642380,642380,1.0,2354.0,2354.0,1177.0,6.0,71.0,0.0,0.0,50.0,1177.0,1248.0,0.0,9,SSNY-261018-00240,2018-10-26,Yes,Returning_Costumer,No information,2018-10,No,3-NORTH ,SANA STYLE ,CAMBRIDGE ,EXECUTIVE ,B13453,No,SUMMER 2018,Summer Sale ,Modern fit,PAKISTAN ,No information,Regular,Local,RED,16½  ,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
94803,94803,94803,94803,1.0,2376.0,2259.0,1746.9202744290997,5.0,99.86487176196346,0.0,0.0,30.0,1426.0,3492.0,0.0,6,SALM-050816-00034,2016-08-05,Yes,Returning_Costumer,No information,2016-08,No,3-NORTH ,ALAM STORE,CAMBRIDGE ,EXECUTIVE ,B9809,No,SUMMER 2016,1 Year & Above (Discounted),No Offer,PAKISTAN ,B,Regular,Local,RED,16½  ,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
477706,477706,477706,477706,1.0,2071.0,2071.0,2071.0,6.0,124.0,0.0,0.0,0.0,0.0,2195.0,0.0,6,SDMT-200118-00177,2018-01-20,Yes,Returning_Costumer,No information,2018-01,No,1-KARACHI,TCS Dolmen Mall - Tariq Road,CAMBRIDGE ,LUXER,B11125T,No,SUMMER 2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Regular,Local,YELLOW,16½  ,No Discount,No information available,F/S LUXER YARN DYED 
338407,338407,338407,338407,1.0,2071.0,2071.0,2071.0,6.0,124.0,0.0,0.0,0.0,0.0,2195.0,0.0,6,SL1C-300717-00003,2017-07-30,Yes,Returning_Costumer,No information,2017-07,No,1-KARACHI,TCS LUCKY ONE - CAMBRIDGE,LICENSE ,LICENSE HALF SLEEVE ,B5594,No,SUMMER 2017,1 Year & Above (Discounted),Buy 1 Get 1 free,PAKISTAN ,No information,No information,Local,BLUE,XX-LR,No Discount,No information available,SEERSUCKER H/S SHIRT
250232,250232,250232,250232,1.0,1995.0,1995.0,1995.0,5.0,100.0,0.0,0.0,0.0,0.0,2095.0,0.0,6,SRSL-070117-00012,2017-01-07,Yes,Returning_Costumer,No information,2017-01,No,2-LAHORE,RAJA SAHIB LIBERTY,CAMBRIDGE ,LUXER,B11082,No,SUMMER 2016,1 Year & Above (Discounted),No Offer,PAKISTAN ,B,Regular,Local,WHITE,17½  ,No Discount,No information available,F/S LUXER YARN DYED 
229392,229392,229392,229392,1.0,2376.0,2376.0,1663.0,5.0,83.0,0.0,0.0,30.0,713.0,1746.0,0.0,6,SFAL-180217-00048,2017-02-18,Yes,Returning_Costumer,No information,2017-02,No,2-LAHORE,TCS Fountain-Avenue-Lhr,CAMBRIDGE ,EXECUTIVE ,B13001,No,WINTER 2016-2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,B,Regular,Local,RED,15½  ,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
279631,279631,279631,279631,1.0,1805.0,1805.0,1805.0,5.0,90.0,0.0,0.0,0.0,0.0,1895.0,0.0,6,SDMT-140617-00022,2017-06-14,Yes,Returning_Costumer,No information,2017-06,No,1-KARACHI,TCS Dolmen Mall - Tariq Road,CAMBRIDGE ,LUXER,B-416,No,SUMMER 2017,1 Year & Above (Discounted),No Offer,PAKISTAN ,No information,Regular,Local,RED,17,No Discount,No information available,F/S LUXER PLAIN 
654683,654683,654683,654683,1.0,2289.0,2289.0,1145.0,6.0,103.0,0.0,0.0,50.0,1144.0,1248.0,0.0,9,SATR-191218-00010,2018-12-19,Yes,NoN_Returning_Costumer,No information,2018-12,No,1-KARACHI,TCS Atrium Mall,CAMBRIDGE ,EXECUTIVE ,B13504,No,WINTER 2018 - 2019,Summer Sale ,No Offer,PAKISTAN ,B,Regular,Local,RED,16½  ,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
635144,635144,635144,635144,1.0,2354.0,2354.0,1412.0,6.0,85.0,0.0,0.0,40.0,942.0,1497.0,0.0,9,SPT2-241118-00026,2018-11-24,Yes,Returning_Costumer,No information,2018-11,No,1-KARACHI,TCS Park Tower - 2,CAMBRIDGE ,EXECUTIVE ,B13504,No,WINTER 2018 - 2019,Summer Sale ,No Offer,PAKISTAN ,B,Regular,Local,RED,16,No Discount,No information available,F/S CAMBRIDGE EXECUTIVE 
474241,474241,474241,474241,1.0,1882.0,1882.0,1317.0,6.0,79.0,0.0,0.0,30.0,565.0,1396.0,0.0,6,SDMT-140218-00129,2018-02-14,Yes,Returning_Costumer,No information,2018-02,No,1-KARACHI,TCS Dolmen Mall - Tariq Road,LICENSE ,LICENSE FULL SLEEVE ,B5710,No,WINTER 2017 - 2018,Winter Stock,Slim Fit,PAKISTAN ,No information,No information,Local,WHITE,MED  ,No Discount,No information available,CHEMBREY F/S 
