BillNo,BillDate,LoyaltyCard,Customer,Description,BillMonth,Warehouse,RegionName,Location,DepartmentName,BrandName,DesignNo,Rejection,SeasonName,Inventory_status,Import_type,Attribute5,LocalImport,Color,Sizes,DiscountType,SalesReturnReason,Cobrand Acc,"('Buy 1 Get 1 free',)","('Comfort fit',)","('Modern fit',)","('Regular Fit',)","('Slim Fit',)","('0',)","('No information',)","('Premium',)","('Regular',)",Qty,Price,Amount,SaleExclGST,GSTP,GST,DiscPer,DiscAmount,BarcodeDiscPer,BarcodeDiscount,NetAmount,PointsEarned,TaxPer
10060,71,1,1,2211,24,0,2,3,0,11,52,0,20,0,2,1,1,160,2,6,4,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-0.7774818471760804,-0.1799162114042085,-0.5368999593428178,-0.0406393174800324,-0.4409454688771319,-0.1193862686191996,-0.0918651950292086,1.552780071157161,0.9633997163561178,-0.5391042436053914,-0.1788739568600897,-0.3687136648542101
339838,397,1,1,2211,25,0,1,21,0,13,4162,0,20,0,2,1,1,206,4,6,4,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-1.0405012151887256,-0.2958378953079303,-0.6000152124937588,-0.0406393174800324,-0.4824616427932575,-0.1193862686191996,-0.0918651950292086,1.552780071157161,0.788290794911513,-0.6016929203027735,-0.1788739568600897,-0.3687136648542101
417122,865,1,1,2211,18,0,0,48,1,9,2780,0,28,0,2,1,1,116,12,6,4,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1643423230142603,-0.4864816953323024,-0.0516624334681759,-0.1864088726961028,-0.4781873216520712,-0.2997904775623051,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.3784614042964807,-0.1983436704752001,2.308595717912511,-0.3687136648542101
254532,71,1,1,2211,24,0,3,13,0,13,3624,0,9,0,2,0,1,277,7,6,4,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-1.0405012151887256,-0.2958378953079303,-0.6000152124937588,-0.0406393174800324,-0.4824616427932575,-0.1193862686191996,-0.0918651950292086,1.552780071157161,0.788290794911513,-0.6016929203027735,-0.1788739568600897,-0.3687136648542101
152585,103,1,0,2371,33,0,0,35,0,4,2204,0,21,8,2,1,1,197,7,6,2,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.1067462540168718,-0.7774818471760804,-2.5008163082851067,-1.926778406390136,-0.0406393174800324,-1.4705465819970454,-0.1193862686191996,-0.0918651950292086,-2.7747881747225263,-2.1922865913796303,-1.926170472636263,-0.1788739568600897,2.7121316493528957
124333,948,1,1,2211,19,0,0,36,1,10,2826,0,20,0,2,1,1,311,20,6,4,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1643423230142603,-0.7774818471760804,-0.1799162114042085,-0.2844389467390538,-0.0406393174800324,-0.2499710688629544,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.2629640305776989,-0.2868529102492758,-0.1788739568600897,-0.3687136648542101
412916,3,1,0,2211,0,0,0,48,1,9,2618,0,27,4,2,0,1,301,14,6,4,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1643423230142603,0.0465522366507714,0.1832639578473454,0.4904015015182432,-0.4781873216520712,0.1236744963821754,-0.1193862686191996,-0.0918651950292086,-0.8514245098871098,-0.7895523589563611,0.4711655075301295,-0.1788739568600897,-0.3687136648542101
279161,1047,1,1,2211,32,0,0,46,1,9,2756,0,28,0,2,1,1,311,12,6,4,28,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1643423230142603,0.5418121104618165,0.401542022219247,-0.4099980141776279,-0.0406393174800324,-0.3413066514784306,-0.1193862686191996,-0.0918651950292086,2.033620987366015,2.367996809645819,-0.41203026364404,-0.1788739568600897,2.7121316493528957
345922,195,1,1,2211,22,0,3,53,0,11,3377,0,18,0,2,0,1,229,8,6,4,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1643423230142603,-1.173409938386605,-0.3544153419614068,-0.4173838416740146,-0.0406393174800324,-0.3496098862616557,-0.1193862686191996,-0.0918651950292086,0.5910982387394527,0.1046208569309819,-0.4196167699103893,-0.1788739568600897,-0.3687136648542101
233414,287,1,1,2310,11,0,0,43,1,9,2754,0,28,4,2,0,1,157,14,6,3,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.1067462540168718,-0.3521739329428665,-2.688264137576231,-2.636489284906568,-0.4781873216520712,-1.8109792081092748,-0.1193862686191996,-0.0918651950292086,-0.8514245098871098,-0.7895523589563611,-2.620335796007228,-0.1788739568600897,-0.3687136648542101
